incident_number,count
TIX00411339,1
TIX00598490,1
TIX00584721,1
TIX00357326,1
TIX00534171,1
TIX00389476,1
TIX00538194,2
TIX00338846,1
TIX00432421,6
TIX00373244,1
TIX00521085,1
TIX00567722,1
TIX00369091,1
TIX00514647,1
TIX00587063,1
TIX00585185,1
TIX00544399,1
TIX00332258,1
TIX00573531,2
TIX00442394,1
TIX00569629,1
TIX00441324,4
TIX00364393,1
TIX00599529,1
TIX00452537,1
TIX00500966,1
TIX00451070,2
TIX00349595,2
TIX00456416,1
TIX00606187,1
TIX00438019,1
TIX00424608,1
TIX00554590,5
TIX00429509,1
TIX00403868,1
TIX00422257,1
TIX00554512,1
TIX00454232,1
TIX00381171,1
TIX00512653,1
TIX00546681,1
TIX00556333,1
TIX00535619,1
TIX00448003,2
TIX00385836,1
TIX00374882,1
TIX00534436,1
TIX00458462,1
TIX00402400,2
TIX00388424,1
TIX00381081,1
TIX00533749,1
TIX00399912,1
TIX00551593,1
TIX00424562,1
TIX00559089,2
TIX00278463,1
TIX00576217,1
TIX00557044,1
TIX00612046,1
TIX00534279,1
TIX00376712,1
TIX00563279,1
TIX00522464,4
TIX00552690,1
TIX00619442,1
TIX00384547,1
TIX00331703,1
TIX00508122,1
TIX00619756,1
TIX00432862,2
TIX00601158,1
TIX00559349,1
TIX00334968,1
TIX00526306,2
TIX00562128,1
TIX00433794,1
TIX00406506,1
TIX00328373,1
TIX00519989,1
TIX00616959,1
TIX00554610,1
TIX00610748,1
TIX00338830,1
TIX00363336,1
TIX00378582,1
TIX00398725,4
TIX00513572,1
TIX00527547,1
TIX00343674,1
TIX00610828,2
TIX00501472,4
TIX00504272,1
TIX00324626,1
TIX00523193,8
TIX00560593,2
TIX00386620,2
TIX00418059,1
TIX00571112,2
TIX00604052,1
TIX00363852,1
TIX00450127,1
TIX00547120,1
TIX00558881,1
TIX00378427,1
TIX00551658,1
TIX00444767,1
TIX00324902,1
TIX00589847,1
TIX00574605,1
TIX00590461,1
TIX00568381,1
TIX00314840,1
TIX00544549,1
TIX00454255,2
TIX00569913,2
TIX00412392,1
TIX00454021,1
TIX00588332,2
TIX00436728,1
TIX00508082,1
TIX00336205,1
TIX00342719,11
TIX00521601,1
TIX00326735,1
TIX00333901,1
TIX00559500,6
TIX00375035,1
TIX00396242,4
TIX00594231,1
TIX00554614,2
TIX00589886,1
TIX00586071,1
TIX00552332,1
TIX00440783,1
TIX00574771,1
TIX00330357,1
TIX00535509,1
TIX00507312,1
TIX00543796,1
TIX00569467,2
TIX00551510,2
TIX00504438,1
TIX00521476,1
TIX00575664,14
TIX00415903,5
TIX00503328,1
TIX00321449,1
TIX00568682,1
TIX00527231,1
TIX00560068,1
TIX00533870,1
TIX00324751,2
TIX00509908,1
TIX00456888,3
TIX00539931,1
TIX00379209,1
TIX00453936,1
TIX00409998,1
TIX00361260,1
TIX00575684,1
TIX00502965,1
TIX00453697,1
TIX00451303,1
