Tenant Name,Test Case Id,Scripts,Execution Time,Result,Errors/Message,Individual Results,Group,Module,Category
tjx,ITSA_FUNCTIONAL_75,[POST] d_change_task_source_instance_mysql.sql,0.02 sec,FAILURE,[Error] [Post Script] Unknown column 'SRC.source_id' in 'where clause',,FUNCTIONAL,ITSA,DWH
tjx,ITSA_FUNCTIONAL_76,[POST] f_change_task_sys_updated_on_mysql.sql,0.05 sec,FAILURE,[Error] [Post Script] Unknown column 'SRC.changed_on' in 'where clause',,FUNCTIONAL,ITSA,DWH
tjx,ITSA_FUNCTIONAL_77,[POST] d_change_task_urgency_src_code_mysql.sql,0.21 sec,SUCCESS,[Message] SUCCESS,,,,
tjx,ITSA_FUNCTIONAL_78,[POST] f_change_task_cmdb_ci_mysql.sql,0.02 sec,FAILURE,[Error] [Post Script] Unknown column 'SRC.configuration_item_id' in 'where clause',,FUNCTIONAL,ITSA,DWH
tjx,ITSA_FUNCTIONAL_79,[POST] f_change_task_reassignment_count_mysql.sql,0.03 sec,SUCCESS,[Error] [Post Script] Table 'tjx_mdwdb.f_change_task_activity' doesn't exist,,FUNCTIONAL,ITSA,DWH
tjx,ITSA_FUNCTIONAL_80,[POST] d_change_task_work_start_on_mysql.sql,0.23 sec,SUCCESS,[Message] SUCCESS,,,,
tjx,ITSA_FUNCTIONAL_81,[POST] f_change_task_overdue_duration_mysql.sql,0.27 sec,SUCCESS,[Message] SUCCESS,,,,
tjx,ITSA_FUNCTIONAL_82,[POST] f_change_task_configuration_item_key_mysql.sql,0.25 sec,SUCCESS,[Message] SUCCESS,,,,
tjx,ITSA_FUNCTIONAL_83,[POST] d_change_task_dormant_flag_mysql.sql,0.26 sec,SUCCESS,[Message] SUCCESS,,,,
tjx,ITSA_FUNCTIONAL_84,[POST] d_change_task_impact_mysql.sql,0.03 sec,FAILURE,[Error] [Post Script] Unknown column 'SRC.impact_src_code' in 'where clause',,FUNCTIONAL,ITSA,DWH
tjx,ITSA_FUNCTIONAL_85,[POST] d_change_task_short_description_mysql.sql,0.25 sec,SUCCESS,[Message] SUCCESS,,,,
tjx,ITSA_FUNCTIONAL_86,[POST] f_change_task_opened_time_key_mysql.sql,0.33 sec,SUCCESS,[Message] SUCCESS,,,,
tjx,ITSA_FUNCTIONAL_87,[POST] f_change_task_soft_deleted_flag_mysql.sql,0.03 sec,SUCCESS,[Error] [Post Script] Table 'tjx_mdsdb.change_task_bwd_delta' doesn't exist,,FUNCTIONAL,ITSA,DWH
tjx,ITSA_FUNCTIONAL_88,[POST] d_change_task_sys_class_name_mysql.sql,0.02 sec,FAILURE,[Error] [Post Script] Unknown column 'SRC.task_type_src_code' in 'where clause',,FUNCTIONAL,ITSA,DWH
