name,Sys_class_name,Class1,Class2,Class3,LOV_Hardwware_Status,HARDWARE_STATUS_FLAG,CNT
5cg8523z5d-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg8523z66-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg8523z6x-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg8523zkq-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg8523zl7-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg8523zw0-w10,cmdb_ci_laptop_pc,Installed,NULL,NULL,Installed,Y,1
5cg852437c-w10,cmdb_ci_laptop_pc,Installed,NULL,NULL,Installed,Y,1
5cg85243s4-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg8525bdh-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg8525yrc-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg8525yrn-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg8525ys4-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg8525ysb-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg8525yvz-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg8525yw7-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg8526jf5-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg8526l4d-w10,cmdb_ci_laptop_pc,Installed,NULL,NULL,Installed,Y,1
5cg90101p6-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg90103gx-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg90103hg-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg90103hk-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg90103hz-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg90103j3-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg90103k8-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg90103kg-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
